"STATE","Year","CAUSE","FIRETYPE","SIZECLASS","count"
"Alabama",1995,"Natural","Unknown",2,21
"Alabama",1995,"Natural","Unknown",22,13
"Alabama",1996,"Human","Active/Suppressed",2,13
"Alabama",1996,"Human","Active/Suppressed",22,4
"Alabama",1996,"Human","Active/Suppressed",1214,1
"Alabama",1996,"Human","False Alarm",NA,1
"Alabama",1996,"Human","Natural out",2,1
"Alabama",1996,"Human","Prescribed fire",2,3
"Alabama",1996,"Human","Unknown",0.05,1
"Alabama",1996,"Human","Unknown",2,42
"Alabama",1996,"Human","Unknown",22,29
"Alabama",1996,"Human","Unknown",80,2
"Alabama",1996,"Human","Unknown",262.5,2
"Alabama",1996,"Natural","Unknown",0.05,1
"Alabama",1996,"Natural","Unknown",2,3
"Alabama",1996,"Natural","Unknown",22,2
"Alabama",1996,"Natural","Unknown",80,2
"Alabama",1997,"Human","Active/Suppressed",0.05,1
"Alabama",1997,"Human","Active/Suppressed",2,10
"Alabama",1997,"Human","Active/Suppressed",22,2
"Alabama",1997,"Human","Active/Suppressed",262.5,1
"Alabama",1997,"Human","Prescribed fire",22,1
"Alabama",1997,"Human","Unknown",0.05,4
"Alabama",1997,"Human","Unknown",2,27
"Alabama",1997,"Human","Unknown",22,7
"Alabama",1997,"Human","Unknown",80,1
"Alabama",1997,"Natural","Unknown",22,2
"Alabama",1998,"Human","Active/Suppressed",0.05,2
"Alabama",1998,"Human","Active/Suppressed",2,12
"Alabama",1998,"Human","Active/Suppressed",22,6
"Alabama",1998,"Human","Active/Suppressed",80,1
"Alabama",1998,"Human","Unknown",0.05,8
"Alabama",1998,"Human","Unknown",2,65
"Alabama",1998,"Human","Unknown",22,28
"Alabama",1998,"Human","Unknown",80,1
"Alabama",1998,"Human","Unknown",1214,1
"Alabama",1998,"Natural","Unknown",2,3
"Alabama",1998,"Natural","Unknown",22,3
"Alabama",1999,"Human","Active/Suppressed",0.05,3
"Alabama",1999,"Human","Active/Suppressed",2,11
"Alabama",1999,"Human","Active/Suppressed",22,4
"Alabama",1999,"Human","Natural out",2,5
"Alabama",1999,"Human","Natural out",22,2
"Alabama",1999,"Human","Prescribed fire",2,1
"Alabama",1999,"Human","Prescribed fire",22,2
"Alabama",1999,"Human","Unknown",0.05,8
"Alabama",1999,"Human","Unknown",2,57
"Alabama",1999,"Human","Unknown",22,25
"Alabama",1999,"Human","Unknown",80,3
"Alabama",1999,"Natural","Active/Suppressed",2,2
"Alabama",1999,"Natural","Unknown",2,2
"Alabama",1999,"Natural","Unknown",22,4
"Alabama",2000,"","Support action/Assist fire",NA,1
"Alabama",2000,"Human","Active/Suppressed",0.05,1
"Alabama",2000,"Human","Active/Suppressed",2,5
"Alabama",2000,"Human","Active/Suppressed",22,2
"Alabama",2000,"Human","Natural out",0.05,2
"Alabama",2000,"Human","Prescribed fire",2,3
"Alabama",2000,"Human","Prescribed fire",22,2
"Alabama",2000,"Human","Unknown",0.05,7
"Alabama",2000,"Human","Unknown",2,36
"Alabama",2000,"Human","Unknown",22,21
"Alabama",2000,"Human","Unknown",80,6
"Alabama",2000,"Human","Unknown",262.5,1
"Alabama",2000,"Natural","Active/Suppressed",22,1
"Alabama",2000,"Natural","Unknown",0.05,1
"Alabama",2000,"Natural","Unknown",2,10
"Alabama",2000,"Natural","Unknown",22,10
"Alabama",2000,"Natural","Unknown",80,2
"Alabama",2001,"Human","Active/Suppressed",0.05,1
"Alabama",2001,"Human","Active/Suppressed",22,1
"Alabama",2001,"Human","Active/Suppressed",262.5,1
"Alabama",2001,"Human","Prescribed fire",80,1
"Alabama",2001,"Human","Unknown",0.05,5
"Alabama",2001,"Human","Unknown",2,31
"Alabama",2001,"Human","Unknown",22,18
"Alabama",2001,"Human","Unknown",80,2
"Alabama",2001,"Natural","Active/Suppressed",0.05,1
"Alabama",2001,"Natural","Active/Suppressed",22,1
"Alabama",2001,"Natural","Active/Suppressed",262.5,1
"Alabama",2001,"Natural","Unknown",2,2
"Alabama",2001,"Natural","Unknown",22,5
"Alabama",2001,"Natural","Unknown",80,1
"Alabama",2002,"","Active/Suppressed",22,1
"Alabama",2002,"","Active/Suppressed",80,1
"Alabama",2002,"","Active/Suppressed",NA,1
"Alabama",2002,"Human","Active/Suppressed",80,1
"Alabama",2002,"Human","Prescribed fire",22,4
"Alabama",2002,"Human","Prescribed fire",262.5,2
"Alabama",2002,"Human","Unknown",0.05,1
"Alabama",2002,"Human","Unknown",2,28
"Alabama",2002,"Human","Unknown",22,17
"Alabama",2002,"Human","Unknown",80,5
"Alabama",2002,"Human","Unknown",262.5,1
"Alabama",2002,"Natural","Unknown",0.05,2
"Alabama",2002,"Natural","Unknown",2,2
"Alabama",2002,"Natural","Unknown",22,4
"Alabama",2002,"Natural","Unknown",80,2
"Alabama",2003,"","False Alarm",NA,1
"Alabama",2003,"Human","Active/Suppressed",2,1
"Alabama",2003,"Human","Prescribed fire",22,1
"Alabama",2003,"Human","Unknown",0.05,3
"Alabama",2003,"Human","Unknown",2,17
"Alabama",2003,"Human","Unknown",22,6
"Alabama",2004,"Human","Active/Suppressed",0.05,9
"Alabama",2004,"Human","Active/Suppressed",2,2
"Alabama",2004,"Human","Active/Suppressed",22,2
"Alabama",2004,"Human","Active/Suppressed",80,1
"Alabama",2004,"Human","Prescribed fire",2,1
"Alabama",2004,"Human","Unknown",2,17
"Alabama",2004,"Human","Unknown",22,9
"Alabama",2004,"Human","Unknown",262.5,1
"Alabama",2004,"Natural","Active/Suppressed",2,1
"Alabama",2004,"Natural","Unknown",22,1
"Alabama",2005,"Human","Prescribed fire",80,1
"Alabama",2005,"Human","Prescribed fire",262.5,1
"Alabama",2005,"Human","Support action/Assist fire",262.5,1
"Alabama",2005,"Human","Support action/Assist fire",NA,1
"Alabama",2005,"Human","Unknown",0.05,2
"Alabama",2005,"Human","Unknown",2,16
"Alabama",2005,"Human","Unknown",22,16
"Alabama",2005,"Human","Unknown",80,4
"Alabama",2005,"Human","Unknown",262.5,1
"Alabama",2005,"Natural","Unknown",2,1
"Alabama",2006,"","Support action/Assist fire",NA,1
"Alabama",2006,"Human","Active/Suppressed",0.05,1
"Alabama",2006,"Human","Active/Suppressed",2,1
"Alabama",2006,"Human","Active/Suppressed",22,1
"Alabama",2006,"Human","Active/Suppressed",80,4
"Alabama",2006,"Human","Active/Suppressed",262.5,3
"Alabama",2006,"Human","Active/Suppressed",1214,1
"Alabama",2006,"Human","False Alarm",NA,1
"Alabama",2006,"Human","Prescribed fire",22,2
"Alabama",2006,"Human","Prescribed fire",80,2
"Alabama",2006,"Human","Support action/Assist fire",NA,2
"Alabama",2006,"Human","Unknown",0.05,6
"Alabama",2006,"Human","Unknown",2,22
"Alabama",2006,"Human","Unknown",22,19
"Alabama",2006,"Human","Unknown",80,2
"Alabama",2006,"Natural","Unknown",0.05,1
"Alabama",2006,"Natural","Unknown",2,7
"Alabama",2006,"Natural","Unknown",22,6
"Alabama",2006,"Natural","Unknown",80,1
"Alabama",2006,"Natural","Unknown",262.5,2
"Alabama",2007,"","Support action/Assist fire",NA,1
"Alabama",2007,"Human","Active/Suppressed",0.05,1
"Alabama",2007,"Human","Active/Suppressed",2,3
"Alabama",2007,"Human","Active/Suppressed",80,1
"Alabama",2007,"Human","Active/Suppressed",262.5,1
"Alabama",2007,"Human","False Alarm",80,1
"Alabama",2007,"Human","Natural out",0.05,1
"Alabama",2007,"Human","Prescribed fire",22,5
"Alabama",2007,"Human","Prescribed fire",1214,1
"Alabama",2007,"Human","Support action/Assist fire",22,1
"Alabama",2007,"Human","Support action/Assist fire",80,1
"Alabama",2007,"Human","Support action/Assist fire",262.5,1
"Alabama",2007,"Human","Unknown",0.05,18
"Alabama",2007,"Human","Unknown",2,39
"Alabama",2007,"Human","Unknown",22,25
"Alabama",2007,"Human","Unknown",80,6
"Alabama",2007,"Human","Unknown",262.5,2
"Alabama",2007,"Natural","Active/Suppressed",80,1
"Alabama",2007,"Natural","Unknown",0.05,4
"Alabama",2007,"Natural","Unknown",2,14
"Alabama",2007,"Natural","Unknown",22,7
"Alabama",2007,"Natural","Unknown",80,1
"Alabama",2007,"Natural","Unknown",262.5,1
"Alabama",2007,"Undetermined","Natural out",2,1
"Alabama",2008,"","Support action/Assist fire",NA,1
"Alabama",2008,"Human","",0.05,1
"Alabama",2008,"Human","",2,1
"Alabama",2008,"Human","Active/Suppressed",0.05,1
"Alabama",2008,"Human","Active/Suppressed",2,1
"Alabama",2008,"Human","Active/Suppressed",80,1
"Alabama",2008,"Human","Prescribed fire",2,5
"Alabama",2008,"Human","Prescribed fire",22,2
"Alabama",2008,"Human","Prescribed fire",262.5,1
"Alabama",2008,"Human","Support action/Assist fire",22,2
"Alabama",2008,"Human","Unknown",0.05,3
"Alabama",2008,"Human","Unknown",2,13
"Alabama",2008,"Human","Unknown",22,15
"Alabama",2008,"Human","Unknown",80,3
"Alabama",2008,"Human","Unknown",262.5,2
"Alabama",2008,"Natural","Unknown",0.05,1
"Alabama",2008,"Natural","Unknown",2,2
"Alabama",2008,"Natural","Unknown",22,3
"Alabama",2008,"Natural","Unknown",80,1
"Alabama",2008,"Undetermined","Natural out",2,1
"Alabama",2008,"Undetermined","Support action/Assist fire",NA,1
"Alabama",2009,"Human","",2,1
"Alabama",2009,"Human","Active/Suppressed",0.05,2
"Alabama",2009,"Human","Active/Suppressed",2,1
"Alabama",2009,"Human","Active/Suppressed",22,2
"Alabama",2009,"Human","Active/Suppressed",80,1
"Alabama",2009,"Human","Prescribed fire",2,1
"Alabama",2009,"Human","Prescribed fire",22,4
"Alabama",2009,"Human","Prescribed fire",80,2
"Alabama",2009,"Human","Prescribed fire",1214,1
"Alabama",2009,"Human","Unknown",0.05,5
"Alabama",2009,"Human","Unknown",2,11
"Alabama",2009,"Human","Unknown",22,6
"Alabama",2009,"Human","Unknown",80,1
"Alabama",2009,"Natural","Unknown",2,1
"Alabama",2009,"Natural","Unknown",262.5,1
"Alabama",2009,"Undetermined","",2,2
"Alabama",2009,"Undetermined","Active/Suppressed",0.05,1
"Alabama",2009,"Undetermined","Active/Suppressed",2,2
"Alabama",2009,"Undetermined","Support action/Assist fire",NA,1
"Alabama",2010,"Human","Active/Suppressed",0.05,2
"Alabama",2010,"Human","Active/Suppressed",2,2
"Alabama",2010,"Human","Prescribed fire",2,2
"Alabama",2010,"Human","Prescribed fire",22,4
"Alabama",2010,"Human","Prescribed fire",80,2
"Alabama",2010,"Human","Prescribed fire",262.5,2
"Alabama",2010,"Human","Support action/Assist fire",NA,1
"Alabama",2010,"Human","Unknown",0.05,4
"Alabama",2010,"Human","Unknown",2,20
"Alabama",2010,"Human","Unknown",22,16
"Alabama",2010,"Human","Unknown",80,3
"Alabama",2010,"Natural","Active/Suppressed",2,1
"Alabama",2010,"Natural","Unknown",22,2
"Alabama",2010,"Undetermined","Active/Suppressed",2,1
"Alabama",2011,"Human","Active/Suppressed",0.05,3
"Alabama",2011,"Human","Active/Suppressed",2,2
"Alabama",2011,"Human","Active/Suppressed",22,3
"Alabama",2011,"Human","Prescribed fire",2,3
"Alabama",2011,"Human","Support action/Assist fire",22,1
"Alabama",2011,"Human","Unknown",0.05,3
"Alabama",2011,"Human","Unknown",2,16
"Alabama",2011,"Human","Unknown",22,16
"Alabama",2011,"Human","Unknown",80,9
"Alabama",2011,"Human","Unknown",262.5,3
"Alabama",2011,"Human","Unknown",1214,1
"Alabama",2011,"Natural","Unknown",0.05,1
"Alabama",2011,"Natural","Unknown",2,6
"Alabama",2011,"Natural","Unknown",22,6
"Alabama",2011,"Natural","Unknown",80,1
"Alabama",2012,"Human","Active/Suppressed",0.05,1
"Alabama",2012,"Human","False Alarm",80,1
"Alabama",2012,"Human","False Alarm",262.5,1
"Alabama",2012,"Human","Natural out",2,1
"Alabama",2012,"Human","Natural out",80,1
"Alabama",2012,"Human","Prescribed fire",2,3
"Alabama",2012,"Human","Prescribed fire",22,2
"Alabama",2012,"Human","Prescribed fire",262.5,1
"Alabama",2012,"Human","Support action/Assist fire",80,1
"Alabama",2012,"Human","Unknown",0.05,5
"Alabama",2012,"Human","Unknown",2,5
"Alabama",2012,"Human","Unknown",22,10
"Alabama",2012,"Human","Unknown",80,2
"Alabama",2012,"Human","Unknown",262.5,1
"Alabama",2012,"Natural","Unknown",2,2
"Alabama",2012,"Natural","Unknown",22,2
"Alabama",2012,"Natural","Unknown",80,2
"Alabama",2012,"Undetermined","",2,2
"Alabama",2012,"Undetermined","Active/Suppressed",2,1
"Alabama",2013,"Human","",22,1
"Alabama",2013,"Human","Active/Suppressed",0.05,3
"Alabama",2013,"Human","Active/Suppressed",2,1
"Alabama",2013,"Human","Prescribed fire",2,1
"Alabama",2013,"Human","Prescribed fire",80,2
"Alabama",2013,"Human","Prescribed fire",262.5,3
"Alabama",2013,"Human","Unknown",0.05,3
"Alabama",2013,"Human","Unknown",2,7
"Alabama",2013,"Human","Unknown",22,16
"Alabama",2013,"Human","Unknown",80,2
"Alabama",2013,"Human","Unknown",262.5,2
"Alabama",2013,"Natural","Unknown",2,2
"Alabama",2013,"Natural","Unknown",22,1
"Alabama",2013,"Undetermined","Natural out",2,1
"Alabama",2014,"","Support action/Assist fire",22,1
"Alabama",2014,"Human","Active/Suppressed",0.05,1
"Alabama",2014,"Human","Prescribed fire",2,2
"Alabama",2014,"Human","Prescribed fire",22,1
"Alabama",2014,"Human","Prescribed fire",1214,1
"Alabama",2014,"Human","Support action/Assist fire",2,1
"Alabama",2014,"Human","Support action/Assist fire",22,1
"Alabama",2014,"Human","Support action/Assist fire",1214,1
"Alabama",2014,"Human","Unknown",0.05,2
"Alabama",2014,"Human","Unknown",2,11
"Alabama",2014,"Human","Unknown",22,9
"Alabama",2014,"Human","Unknown",80,2
"Alabama",2014,"Human","Unknown",262.5,1
"Alabama",2014,"Undetermined","",0.05,1
"Alabama",2014,"Undetermined","Support action/Assist fire",NA,5
"Alabama",2015,"","Support action/Assist fire",NA,1
"Alabama",2015,"Human","",0.05,1
"Alabama",2015,"Human","",2,1
"Alabama",2015,"Human","",22,2
"Alabama",2015,"Human","Active/Suppressed",0.05,4
"Alabama",2015,"Human","Active/Suppressed",2,5
"Alabama",2015,"Human","Active/Suppressed",22,6
"Alabama",2015,"Human","Active/Suppressed",262.5,1
"Alabama",2015,"Human","Prescribed fire",2,1
"Alabama",2015,"Natural","",0.05,1
"Alabama",2015,"Natural","Active/Suppressed",0.05,1
"Alabama",2015,"Undetermined","Active/Suppressed",22,1
"Alabama",2015,"Undetermined","Support action/Assist fire",NA,1
"Alabama",2016,"","Support action/Assist fire",NA,1
"Alabama",2016,"Human","",0.05,1
"Alabama",2016,"Human","",2,1
"Alabama",2016,"Human","Active/Suppressed",0.05,12
"Alabama",2016,"Human","Active/Suppressed",2,20
"Alabama",2016,"Human","Active/Suppressed",22,10
"Alabama",2016,"Human","Active/Suppressed",80,4
"Alabama",2016,"Human","Active/Suppressed",262.5,3
"Alabama",2016,"Human","Active/Suppressed",1214,1
"Alabama",2016,"Human","Prescribed fire",80,1
"Alabama",2016,"Human","Prescribed fire",262.5,5
"Alabama",2016,"Human","Support action/Assist fire",2,1
"Alabama",2016,"Human","Support action/Assist fire",80,1
"Alabama",2016,"Human","Support action/Assist fire",262.5,4
"Alabama",2016,"Human","Support action/Assist fire",NA,2
"Alabama",2016,"Natural","Active/Suppressed",0.05,1
"Alabama",2016,"Natural","Active/Suppressed",2,1
"Alabama",2016,"Undetermined","Active/Suppressed",2,1
"Alabama",2016,"Undetermined","Support action/Assist fire",NA,3
"Alaska",1990,"","False Alarm",NA,39
"Alaska",1990,"","Support action/Assist fire",NA,12
"Alaska",1990,"Human","Active/Suppressed",0.05,33
"Alaska",1990,"Human","Active/Suppressed",2,28
"Alaska",1990,"Human","Active/Suppressed",22,4
"Alaska",1990,"Human","Active/Suppressed",80,2
"Alaska",1990,"Human","Active/Suppressed",262.5,2
"Alaska",1990,"Human","Active/Suppressed",1214,1
"Alaska",1990,"Human","Active/Suppressed",5000,5
"Alaska",1990,"Human","False Alarm",NA,4
"Alaska",1990,"Human","Natural out",0.05,1
"Alaska",1990,"Human","Support action/Assist fire",NA,18
"Alaska",1990,"Human","Unknown",0.05,10
"Alaska",1990,"Human","Unknown",2,3
"Alaska",1990,"Natural","Active/Suppressed",0.05,23
"Alaska",1990,"Natural","Active/Suppressed",2,127
"Alaska",1990,"Natural","Active/Suppressed",22,81
"Alaska",1990,"Natural","Active/Suppressed",80,30
"Alaska",1990,"Natural","Active/Suppressed",262.5,26
"Alaska",1990,"Natural","Active/Suppressed",1214,51
"Alaska",1990,"Natural","Active/Suppressed",5000,56
"Alaska",1990,"Natural","Natural out",0.05,3
"Alaska",1990,"Natural","Natural out",2,9
"Alaska",1990,"Natural","Natural out",22,5
"Alaska",1990,"Natural","Natural out",262.5,1
"Alaska",1990,"Natural","Support action/Assist fire",NA,50
"Alaska",1990,"Natural","Unknown",0.05,1
"Alaska",1991,"","False Alarm",NA,38
"Alaska",1991,"","Support action/Assist fire",NA,3
"Alaska",1991,"Human","Active/Suppressed",0.05,35
"Alaska",1991,"Human","Active/Suppressed",2,47
"Alaska",1991,"Human","Active/Suppressed",22,9
"Alaska",1991,"Human","Active/Suppressed",80,2
"Alaska",1991,"Human","Active/Suppressed",262.5,5
"Alaska",1991,"Human","Active/Suppressed",1214,1
"Alaska",1991,"Human","Active/Suppressed",5000,4
"Alaska",1991,"Human","False Alarm",NA,5
"Alaska",1991,"Human","Natural out",0.05,2
"Alaska",1991,"Human","Support action/Assist fire",NA,64
"Alaska",1991,"Human","Unknown",0.05,12
"Alaska",1991,"Human","Unknown",2,4
"Alaska",1991,"Human","Unknown",22,1
"Alaska",1991,"Natural","Active/Suppressed",0.05,36
"Alaska",1991,"Natural","Active/Suppressed",2,114
"Alaska",1991,"Natural","Active/Suppressed",22,40
"Alaska",1991,"Natural","Active/Suppressed",80,21
"Alaska",1991,"Natural","Active/Suppressed",262.5,20
"Alaska",1991,"Natural","Active/Suppressed",1214,30
"Alaska",1991,"Natural","Active/Suppressed",5000,68
"Alaska",1991,"Natural","Support action/Assist fire",NA,1
"Alaska",1992,"","False Alarm",NA,22
"Alaska",1992,"","Support action/Assist fire",NA,8
"Alaska",1992,"Human","Active/Suppressed",0.05,32
"Alaska",1992,"Human","Active/Suppressed",2,30
"Alaska",1992,"Human","Active/Suppressed",22,17
"Alaska",1992,"Human","Active/Suppressed",80,9
"Alaska",1992,"Human","Active/Suppressed",262.5,2
"Alaska",1992,"Human","Active/Suppressed",1214,1
"Alaska",1992,"Human","Active/Suppressed",5000,1
"Alaska",1992,"Human","False Alarm",NA,4
"Alaska",1992,"Human","Support action/Assist fire",2,1
"Alaska",1992,"Human","Unknown",0.05,15
"Alaska",1992,"Human","Unknown",2,4
"Alaska",1992,"Human","Unknown",22,1
"Alaska",1992,"Natural","Active/Suppressed",0.05,17
"Alaska",1992,"Natural","Active/Suppressed",2,43
"Alaska",1992,"Natural","Active/Suppressed",22,31
"Alaska",1992,"Natural","Active/Suppressed",80,10
"Alaska",1992,"Natural","Active/Suppressed",262.5,7
"Alaska",1992,"Natural","Active/Suppressed",1214,9
"Alaska",1992,"Natural","Active/Suppressed",5000,5
"Alaska",1992,"Natural","Active/Suppressed",NA,1
"Alaska",1992,"Natural","Natural out",0.05,1
"Alaska",1992,"Natural","Natural out",2,1
"Alaska",1992,"Natural","Unknown",2,1
"Alaska",1993,"","False Alarm",NA,32
"Alaska",1993,"","Support action/Assist fire",2,1
"Alaska",1993,"","Support action/Assist fire",NA,48
"Alaska",1993,"Human","Active/Suppressed",0.05,52
"Alaska",1993,"Human","Active/Suppressed",2,50
"Alaska",1993,"Human","Active/Suppressed",22,11
"Alaska",1993,"Human","False Alarm",NA,6
"Alaska",1993,"Human","Support action/Assist fire",0.05,1
"Alaska",1993,"Human","Unknown",0.05,39
"Alaska",1993,"Human","Unknown",2,11
"Alaska",1993,"Human","Unknown",22,2
"Alaska",1993,"Natural","Active/Suppressed",0.05,26
"Alaska",1993,"Natural","Active/Suppressed",2,81
"Alaska",1993,"Natural","Active/Suppressed",22,54
"Alaska",1993,"Natural","Active/Suppressed",80,28
"Alaska",1993,"Natural","Active/Suppressed",262.5,26
"Alaska",1993,"Natural","Active/Suppressed",1214,22
"Alaska",1993,"Natural","Active/Suppressed",5000,29
"Alaska",1993,"Natural","Natural out",0.05,3
"Alaska",1993,"Natural","Natural out",2,5
"Alaska",1993,"Natural","Natural out",80,2
"Alaska",1993,"Natural","Support action/Assist fire",0.05,2
"Alaska",1993,"Natural","Support action/Assist fire",2,1
"Alaska",1993,"Natural","Unknown",0.05,2
"Alaska",1994,"","False Alarm",NA,21
"Alaska",1994,"","Natural out",0.05,2
"Alaska",1994,"","Natural out",22,1
"Alaska",1994,"","Support action/Assist fire",NA,18
"Alaska",1994,"Human","Active/Suppressed",0.05,37
"Alaska",1994,"Human","Active/Suppressed",2,20
"Alaska",1994,"Human","Active/Suppressed",22,9
"Alaska",1994,"Human","Active/Suppressed",80,4
"Alaska",1994,"Human","Active/Suppressed",262.5,2
"Alaska",1994,"Human","Active/Suppressed",1214,2
"Alaska",1994,"Human","False Alarm",NA,6
"Alaska",1994,"Human","Unknown",0.05,23
"Alaska",1994,"Human","Unknown",2,6
"Alaska",1994,"Natural","Active/Suppressed",0.05,23
"Alaska",1994,"Natural","Active/Suppressed",2,85
"Alaska",1994,"Natural","Active/Suppressed",22,36
"Alaska",1994,"Natural","Active/Suppressed",80,19
"Alaska",1994,"Natural","Active/Suppressed",262.5,23
"Alaska",1994,"Natural","Active/Suppressed",1214,28
"Alaska",1994,"Natural","Active/Suppressed",5000,21
"Alaska",1994,"Natural","Unknown",0.05,2
"Alaska",1995,"","False Alarm",NA,8
"Alaska",1995,"","Natural out",0.05,1
"Alaska",1995,"","Support action/Assist fire",NA,19
"Alaska",1995,"Human","Active/Suppressed",0.05,16
"Alaska",1995,"Human","Active/Suppressed",2,10
"Alaska",1995,"Human","Active/Suppressed",22,11
"Alaska",1995,"Human","Active/Suppressed",80,1
"Alaska",1995,"Human","Unknown",0.05,16
"Alaska",1995,"Human","Unknown",2,3
"Alaska",1995,"Natural","Active/Suppressed",0.05,4
"Alaska",1995,"Natural","Active/Suppressed",2,24
"Alaska",1995,"Natural","Active/Suppressed",22,13
"Alaska",1995,"Natural","Active/Suppressed",80,5
"Alaska",1995,"Natural","Active/Suppressed",262.5,8
"Alaska",1995,"Natural","Active/Suppressed",1214,9
"Alaska",1995,"Natural","Active/Suppressed",5000,2
"Alaska",1995,"Natural","Unknown",0.05,3
"Alaska",1996,"","False Alarm",NA,13
"Alaska",1996,"","Support action/Assist fire",NA,54
"Alaska",1996,"Human","Active/Suppressed",0.05,30
"Alaska",1996,"Human","Active/Suppressed",2,27
"Alaska",1996,"Human","Active/Suppressed",22,11
"Alaska",1996,"Human","Active/Suppressed",80,1
"Alaska",1996,"Human","Active/Suppressed",1214,4
"Alaska",1996,"Human","Active/Suppressed",5000,9
"Alaska",1996,"Human","False Alarm",NA,1
"Alaska",1996,"Human","Support action/Assist fire",NA,10
"Alaska",1996,"Human","Unknown",0.05,21
"Alaska",1996,"Human","Unknown",2,8
"Alaska",1996,"Human","Unknown",22,3
"Alaska",1996,"Natural","Active/Suppressed",0.05,7
"Alaska",1996,"Natural","Active/Suppressed",2,47
"Alaska",1996,"Natural","Active/Suppressed",22,21
"Alaska",1996,"Natural","Active/Suppressed",80,11
"Alaska",1996,"Natural","Active/Suppressed",262.5,13
"Alaska",1996,"Natural","Active/Suppressed",1214,19
"Alaska",1996,"Natural","Active/Suppressed",5000,22
"Alaska",1997,"","False Alarm",NA,13
"Alaska",1997,"","Natural out",2,1
"Alaska",1997,"","Prescribed fire",22,2
"Alaska",1997,"","Support action/Assist fire",NA,65
"Alaska",1997,"Human","Active/Suppressed",0.05,45
"Alaska",1997,"Human","Active/Suppressed",2,24
"Alaska",1997,"Human","Active/Suppressed",22,11
"Alaska",1997,"Human","Active/Suppressed",262.5,3
"Alaska",1997,"Human","Active/Suppressed",5000,2
"Alaska",1997,"Human","Support action/Assist fire",NA,2
"Alaska",1997,"Human","Unknown",0.05,13
"Alaska",1997,"Human","Unknown",2,6
"Alaska",1997,"Human","Unknown",22,1
