"","State","Year","Fire intention","Presence / Absence","Count","Number of fires, land cover (# km2-1 year-1)","Number of total, total (# km2-1 year-1)","Intended fire size min (ha)","Actual fire size min (ha)","Intended fire size max (ha)","Actual fire size max (ha)","Intended fire size mean (ha)","Actual fire size mean (ha)","Intended fire size median (ha)","Actual fire size median (ha)","Intended burned area % (land cover)","Actual burned area % (land cover)","Intended Burned area % (total)","Actual Burned area % (total)","Fire return period (years)"
"116","North Dakota",1990,"Pyrome management","Presence",2,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA
"117","North Dakota",1990,"ND","Presence",1,NA,NA,NA,NA,NA,2967,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Ohio",1990,"ND","Presence",2,NA,NA,NA,NA,NA,244,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Oklahoma",1990,"ND","Absence",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"120","Oklahoma",1990,"ND","Presence",2,NA,NA,NA,NA,NA,9222,NA,167.566490975135,NA,NA,NA,NA,NA,NA,NA
"121","Oklahoma",2010,"Pasture management","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Oklahoma",2010,"Pyrome management","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Oklahoma",2010,"ND","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.08936884942728,NA
"124","Oregon",1990,"Crop residue burning","Presence",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Oregon",1990,"Pyrome management","Presence",8,NA,NA,NA,NA,NA,NA,NA,28.3333333333333,NA,NA,NA,NA,NA,NA,NA
"126","Oregon",1990,"ND","Presence",5,NA,NA,NA,0.5,NA,69333.8,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"127","Oregon",2000,"Pyrome management","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Pennsylvania",1990,"Pyrome management","Absence",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"129","Pennsylvania",1990,"ND","Presence",5,NA,NA,NA,NA,NA,3055,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","South Dakota",1990,"Crop residue burning","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","South Dakota",1990,"Pyrome management","Presence",2,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA
"132","South Dakota",1990,"ND","Presence",1,NA,NA,NA,NA,NA,83817,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Tennessee",1990,"Pyrome management","Presence",2,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA
"134","Tennessee",1990,"ND","Presence",1,NA,NA,NA,NA,NA,4047,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Texas",1990,"Pasture management","Presence",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Texas",1990,"Pyrome management","Absence",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"137","Texas",1990,"Pyrome management","Presence",2,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,NA,NA,NA,NA,NA
"138","Texas",1990,"ND","Presence",11,NA,NA,NA,0.5,NA,34107.6,NA,75,NA,0.5,NA,NA,NA,NA,NA
"139","Texas",2000,"Pasture management","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,11.5
"140","Utah",1990,"Pyrome management","Presence",3,NA,NA,NA,NA,NA,NA,NA,86.6666666666667,NA,NA,NA,NA,NA,NA,NA
"141","Utah",1990,"ND","Presence",2,NA,NA,NA,0.5,NA,27480,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"142","Utah",2000,"Pyrome management","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Virginia",1990,"Pyrome management","Presence",2,NA,NA,NA,NA,NA,NA,NA,82.5,NA,NA,NA,NA,NA,NA,NA
"144","Washington",1990,"Pyrome management","Presence",2,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
"145","Washington",1990,"ND","Presence",4,NA,NA,NA,0.5,NA,64566.75,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"146","Washington",2000,"Crop residue burning","Presence",1,NA,NA,NA,NA,NA,NA,35,NA,35,NA,NA,3.77523306359014,NA,0.403856038349375,NA
"147","Washington",2000,"Hunter gatherer","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Washington",2000,"Other","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Washington",2000,"Pyrome management","Presence",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Washington",2010,"Hunter gatherer","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Washington",2010,"Pyrome management","Presence",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Wisconsin",1990,"Arson","Presence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Wisconsin",1990,"Hunter gatherer","Presence",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Wisconsin",1990,"Other","Presence",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Wisconsin",1990,"Pyrome management","Absence",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"156","Wisconsin",1990,"Pyrome management","Presence",1,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA
"157","Wisconsin",1990,"Vegetation clearance","Presence",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Wisconsin",1990,"ND","Presence",11,0.00601107142857143,0.00691360128078818,NA,0.252,NA,9748.75,NA,0.82,NA,0.5,NA,NA,NA,1.23,NA
"159","Wisconsin",2000,"Crop residue burning","Presence",2,NA,0.0019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Wisconsin",2000,"ND","Presence",2,NA,0.0038,NA,20,NA,NA,NA,277.4367,NA,0.5,NA,NA,NA,0.00775,NA
"161","Wyoming",1990,"Pyrome management","Presence",2,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA
"162","Wyoming",1990,"ND","Presence",1,NA,NA,NA,NA,NA,55470,NA,NA,NA,NA,NA,NA,NA,NA,NA
