"Case.Study.ID","Location","Region.or.district","Study.Date..start.","Study.Date..end.","State","Land tenure","Fire development stage","Primary AFT","Secondary AFT","Tertiary AFT"
"454bn","Western Allegheny Plateau","ND","1992","2015","Pennsylvania",NA,NA,"ND",NA,NA
"454bo","Southeastern Wisconsin Till Plains","ND","1992","2015","Wisconsin",NA,NA,"ND",NA,NA
"454bp","North Central Appalachians","ND","1992","2015","Pennsylvania",NA,NA,"ND",NA,NA
"454bq","North Central Hardwood Forests","ND","1992","2015","Michigan",NA,NA,"ND",NA,NA
"454br","Interior Plateau","ND","1992","2015","Kentucky",NA,NA,"ND",NA,NA
"454bs","Southeastern Plains","ND","1992","2015","Georgia",NA,NA,"ND",NA,NA
"454bt","Southern Michigan / Northern Indiana Drift","ND","1992","2015","Michigan",NA,NA,"ND",NA,NA
"454bu","huron / Erie Lake Plains","ND","1992","2015","Ohio",NA,NA,"ND",NA,NA
"454bv","Atlantic Coastal Pine Barrens","ND","1992","2015","New Jersey",NA,NA,"ND",NA,NA
"454bw","Willamette Valley","ND","1992","2015","Oregon",NA,NA,"ND",NA,NA
"454bx","Driftless Area","ND","1992","2015","Wisconsin",NA,NA,"ND",NA,NA
"454by","Piedmont & Liguria","ND","1992","2015","Georgia",NA,NA,"ND",NA,NA
"454bz","Acadian Plains and Hills","ND","1992","2015","Maine",NA,NA,"ND",NA,NA
"454c","Nebraska Sand Hills","ND","1992","2015","Nebraska",NA,NA,"ND",NA,NA
"454ca","Northern Appalachian and Atlantic Maritime Highlands","ND","1992","2015","Maine",NA,NA,"ND",NA,NA
"454cb","Northern Piedmont","ND","1992","2015","Maryland",NA,NA,"ND",NA,NA
"454cd","Strait of Georgia / Puget Lowland","ND","1992","2015","Washington",NA,NA,"ND",NA,NA
"454ce","Erie Drift Plain","ND","1992","2015","Pennsylvania",NA,NA,"ND",NA,NA
"454cf","Northern Allegheny Plateau","ND","1992","2015","New York",NA,NA,"ND",NA,NA
"454cg","Northeastern Coastal Zone","ND","1992","2015","Connecticut",NA,NA,"ND",NA,NA
"454d","Canadian Rockies","ND","1992","2015","Montana",NA,NA,"ND",NA,NA
"454e","Idaho Batholith","ND","1992","2015","Idaho",NA,NA,"ND",NA,NA
"454f","Central Basin and Range","ND","1992","2015","Nevada",NA,NA,"ND",NA,NA
"454g","Columbia Plateau","ND","1992","2015","Washington",NA,NA,"ND",NA,NA
"454h","Southwestern Tablelands","ND","1992","2015","New Mexico",NA,NA,"ND",NA,NA
"454i","Chihuahuan Desert","ND","1992","2015","Texas",NA,NA,"ND",NA,NA
"454j","North Cascades","ND","1992","2015","Washington",NA,NA,"ND",NA,NA
"454k","Southern Florida Coastal Plain","ND","1992","2015","Florida",NA,NA,"ND",NA,NA
"454l","Madrean Archipelago","ND","1992","2015","New Mexico",NA,NA,"ND",NA,NA
"454m","Mojave Basin and Range","ND","1992","2015","California",NA,NA,"ND",NA,NA
"454n","Flint Hills","ND","1992","2015","Kansas",NA,NA,"ND",NA,NA
"454o","Edwards Plateau","ND","1992","2015","Texas",NA,NA,"ND",NA,NA
"454p","Blue Mountains","ND","1992","2015","Oregon",NA,NA,"ND",NA,NA
"454q","Southern and Baja California Pine-Oak Mountains","ND","1992","2015","California",NA,NA,"ND",NA,NA
"454r","High Plains","ND","1992","2015","Colorado",NA,NA,"ND",NA,NA
"454s","Northwestern Great Plains","ND","1992","2015","Montana",NA,NA,"ND",NA,NA
"454t","Middle Rockies","ND","1992","2015","South Dakota",NA,NA,"ND",NA,NA
"454u","Arizona / New Mexico Mountains","ND","1992","2015","Arizona",NA,NA,"ND",NA,NA
"454v","Klamath Mountains","ND","1992","2015","California",NA,NA,"ND",NA,NA
"454w","Western Gulf Coastal Plain","ND","1992","2015","Texas",NA,NA,"ND",NA,NA
"454x","Wyoming Basin","ND","1992","2015","Wyoming",NA,NA,"ND",NA,NA
"454y","Wasatch and Uinta Mountains","ND","1992","2015","Utah",NA,NA,"ND",NA,NA
"454z","Southern Rockies","ND","1992","2015","Colorado",NA,NA,"ND",NA,NA
